shrid2,viirs_annual_min,viirs_annual_max,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,category,year
11-01-019-00072-004869,0.0,12.476263999938965,3.43161819394407,182.02969147698275,53.04485557228327,median-masked,2022
11-01-019-00072-004870,1.5703110694885254,7.952570915222168,3.422009334905596,24.91118033493904,7.279693857301027,median-masked,2022
11-01-019-00072-004871,1.9845939874649048,11.829109191894531,6.898224520808415,134.61435891353716,19.514348729513586,median-masked,2022
11-01-019-00072-004873,6.227333545684815,11.87690258026123,8.135234527527937,34.90516919157957,4.290616216836497,median-masked,2022
11-01-019-00072-004874,3.280469417572021,12.476263999938965,8.945332164568653,29.3348179194498,3.279343615169637,median-masked,2022
11-01-019-00072-004875,1.6950167417526243,13.42913055419922,6.214835754402729,35.726253998772584,5.748543551366311,median-masked,2022
11-01-019-00072-004876,1.3591930866241455,11.763689994812012,4.044702946749796,138.81922092369084,34.321240088902414,median-masked,2022
11-01-019-00072-004877,0.0,1.6730623245239258,1.365568981436964,4.7879405566690405,3.5061872536316514,median-masked,2022
11-01-019-00072-004878,1.381729006767273,2.4705114364624023,1.720589605637307,17.339956530661226,10.077915427275002,median-masked,2022
11-01-019-00072-004879,1.447496771812439,6.127123355865479,2.8928916333541825,16.225041941766488,5.608589604496956,median-masked,2022
11-01-019-00072-004880,1.7445592880249023,6.363921165466309,3.342044420733725,15.205939917380256,4.549891624134034,median-masked,2022
11-01-019-00072-004881,2.213816404342652,9.661294937133787,5.749409550951561,28.219067299157203,4.908167882123962,median-masked,2022
11-01-019-00072-004882,1.2909998893737793,2.3825368881225586,1.6802197312131195,10.926876363424414,6.503242498845793,median-masked,2022
11-01-019-00072-004884,1.470276951789856,5.662334442138672,2.235119802358074,42.52670894947513,19.02659038885031,median-masked,2022
11-01-019-00072-004885,1.4210470914840698,5.662334442138672,3.068413372388615,23.01598174790405,7.500939070014283,median-masked,2022
11-01-019-00072-004886,1.203243613243103,1.9923125505447388,1.4740161160724925,13.054309858543316,8.856287062400952,median-masked,2022
11-01-019-00072-004887,0.0,1.9630749225616453,1.1518698060073993,27.358655023372272,23.75151677792701,median-masked,2022
11-01-019-00072-004888,0.0,2.478951930999756,1.8018664248017016,34.701010064395525,19.25836986957256,median-masked,2022
11-01-019-00072-004889,0.0,1.989972472190857,1.2143266099283927,31.54357786036862,25.976189274340868,median-masked,2022
11-01-019-00072-004890,0.0,2.755734205245972,0.835279259562515,27.9621741096112,33.47643771767616,median-masked,2022
11-01-019-00072-004891,0.0,4.637170314788818,1.8317926740178905,104.2587435133293,56.91623565927148,median-masked,2022
11-01-019-00072-004892,0.0,5.372226238250732,2.003676554352605,63.11717481226991,31.50068042427301,median-masked,2022
11-01-019-00072-004893,0.0,8.811179161071777,1.723643885376758,218.1551571677989,126.56625827330572,median-masked,2022
11-01-019-00072-004894,0.0,3.1207079887390137,0.902658509174488,44.406812585420624,49.19558408199373,median-masked,2022
11-01-019-00072-004895,0.0,2.633320569992065,1.031489997484297,48.34907749129224,46.87304540927289,median-masked,2022
11-01-019-00072-004896,0.9333372116088868,2.633320569992065,1.2758081715203384,4.655629115003271,3.649160758592189,median-masked,2022
11-01-019-00072-004897,0.0,1.3595242500305176,0.8072177200452607,11.949234354199914,14.802988162264228,median-masked,2022
11-01-019-00072-004898,0.0,1.2023972272872925,0.3490075799464595,3.967867243351056,11.369000191800296,median-masked,2022
11-01-019-00072-004899,0.0,1.9164841175079343,1.0147622166904364,8.584510655140548,8.459627796488348,median-masked,2022
11-01-019-00072-004900,1.0576817989349363,2.8528146743774414,1.788280023321786,24.5260868981386,13.71490291133523,median-masked,2022
11-01-019-00072-004901,0.925990641117096,8.789693832397461,4.035301692481217,59.87768506029358,14.838465528329834,median-masked,2022
11-01-019-00072-004902,1.958462238311768,10.641322135925291,4.878074681139999,34.8646484431723,7.147214981756794,median-masked,2022
11-01-019-00072-004903,4.157534122467041,10.641322135925291,8.201647798717993,30.5239401617462,3.7216838507156353,median-masked,2022
11-01-019-00072-004904,6.363921165466309,10.641322135925291,9.520159321856854,39.25277214717171,4.123121349141002,median-masked,2022
11-01-019-00072-004905,4.033382415771484,14.563279151916504,9.208680262216486,67.49125097138948,7.329090493923246,median-masked,2022
11-01-019-00072-004906,5.983575344085693,10.641322135925291,7.939036183027456,24.22941478037002,3.051934041082859,median-masked,2022
11-01-019-00072-004907,3.56347131729126,12.56299114227295,6.585835196409966,36.1504457596627,5.489120921120048,median-masked,2022
11-01-019-00072-004908,1.9024772644042969,8.573600769042969,4.260905340291201,18.06179469698817,4.238957041874528,median-masked,2022
